,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist,genre,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,danceability_original,energy_original,loudness_original,speechiness_original,acousticness_original,instrumentalness_original,liveness_original,valence_original,tempo_original,duration_ms_original,time_signature_original
0,0.533948941,0.723067565,0.9064424590000001,1,0.02605042,0.08724674199999999,0.0,0.206084601,0.45129015299999997,0.671347062,audio_features,6DEaND0SHv3sC11xobZLiy,spotify:track:6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/tracks/6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/audio-analysis/6DEaND0SHv3sC11xobZLiy,0.082927202,0.75,Take Your Time: Sam Hunt ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.551,0.7190000000000001,-5.631,0.0416,0.0869,0.0,0.21899999999999997,0.449,158.08,243707,4
2,0.493753395,0.8942621609999999,0.9534209140000001,0,0.116246499,0.21887357300000002,0.0,0.08730985599999999,0.8662453920000001,0.670984093,audio_features,6WTFRjOG3nS94P8wfm4ANH,spotify:track:6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/tracks/6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/audio-analysis/6WTFRjOG3nS94P8wfm4ANH,0.044768406,0.75,Games: Luke Bryan ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,1,0,0,0,0.514,0.889,-3.3960000000000004,0.106,0.218,0.0,0.105,0.843,158.023,176293,4
4,0.678435633,0.728102701,0.893326327,1,0.0,0.019676294,0.04409368599999999,0.049176912,0.872564508,0.314216941,audio_features,1yaFBgYRHxXxJN0AKy3WS1,spotify:track:1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/tracks/1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/audio-analysis/1yaFBgYRHxXxJN0AKy3WS1,0.075372311,0.75,On To Something Good: Ashley Monroe ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,1,0,0,0,0,0,0,0,0.684,0.7240000000000001,-6.255,0.023,0.0196,0.0433,0.0684,0.8490000000000001,101.99700000000001,230360,4
6,0.38077132,0.751264322,0.920462428,1,0.017927171000000002,0.058331008,0.0,0.080329235,0.367035282,0.6712451759999999,audio_features,1zbcFS5hS92oXNL3UZDfY0,spotify:track:1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/tracks/1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/audio-analysis/1zbcFS5hS92oXNL3UZDfY0,0.068398739,0.75,Lonely Tonight (feat. Ashley Monroe): Blake Shelton Ashley Monroe ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,1,0,0,0,0,0,0,0.41,0.747,-4.9639999999999995,0.0358,0.0581,0.0,0.0983,0.369,158.064,218040,4
8,0.569799022,0.817728107,0.873021545,1,0.04929972,0.029816881,0.00020061099999999998,0.261304438,0.7935755659999999,0.270176645,audio_features,4sl4UWqzHSG7riBKdralwy,spotify:track:4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/tracks/4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/audio-analysis/4sl4UWqzHSG7riBKdralwy,0.06067064,0.75,Little Red Wagon: Miranda Lambert ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,1,0,0,0,0,0,0.584,0.813,-7.221,0.0582,0.0297,0.000197,0.272,0.774,95.081,204387,4
10,0.45355784899999996,0.957704865,0.946715712,1,0.024089636,0.10341144,2.42e-06,0.43738278799999997,0.8915218540000001,0.747882678,audio_features,0El2Zyt68nYySFDG87hZgM,spotify:track:0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/tracks/0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/audio-analysis/0El2Zyt68nYySFDG87hZgM,0.049531039000000006,0.75,Sun Daze: Florida Georgia Line ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,1,0,0,0,0,0,0,0,0.47700000000000004,0.9520000000000001,-3.715,0.0402,0.10300000000000001,2.38e-06,0.441,0.867,170.09900000000002,184707,4
12,0.42531233,0.89829027,0.967609038,1,0.055602241,0.024395181000000002,0.0,0.062617212,0.080674039,0.554706504,audio_features,10RQKVSr4rS0coExTmi4dF,spotify:track:10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/tracks/10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/audio-analysis/10RQKVSr4rS0coExTmi4dF,0.079794755,0.75,Something in the Water: Carrie Underwood ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.451,0.893,-2.721,0.0627,0.0243,0.0,0.0813,0.0971,139.763,238173,4
14,0.492667029,0.221568102,0.809710983,1,0.010084034,0.8253007729999999,0.0,0.09564492599999999,0.35123749299999996,0.771864135,audio_features,11qh54D0PKkBwelpDxxiEU,spotify:track:11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/tracks/11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/audio-analysis/11qh54D0PKkBwelpDxxiEU,0.054406312000000005,0.5,Girl Crush: Little Big Town ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.513,0.221,-10.232999999999999,0.0302,0.8220000000000001,0.0,0.113,0.354,173.865,193320,3
16,0.40032591,0.785503242,0.952916448,1,0.021288515,0.082728658,0.0,0.100854345,0.460768826,0.606604771,audio_features,72wSY7TWu27sVm2rwRLen5,spotify:track:72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/tracks/72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/audio-analysis/72wSY7TWu27sVm2rwRLen5,0.056043857,0.75,A Guy Walks Into a Bar: Tyler Farr ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.428,0.7809999999999999,-3.42,0.0382,0.0824,0.0,0.11800000000000001,0.45799999999999996,147.91299999999998,196213,4
18,0.535035307,0.661638916,0.907283237,1,0.008403361,0.011844948999999999,3.68e-06,0.05636591,0.592417062,0.54372827,audio_features,0n96wSHG9FXAuLVoaG9Jjd,spotify:track:0n96wSHG9FXAuLVoaG9Jjd,https://api.spotify.com/v1/tracks/0n96wSHG9FXAuLVoaG9Jjd,https://api.spotify.com/v1/audio-analysis/0n96wSHG9FXAuLVoaG9Jjd,0.070338547,0.75,One Hell Of An Amen: Brantley Gilbert ,Top 100 Country Tracks on Spotify,Country,0,1,0,0,0,0,0,0,0,0,0,0,0.552,0.6579999999999999,-5.591,0.028999999999999998,0.0118,3.61e-06,0.0753,0.583,138.039,221467,4
