danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist
0.551,0.719,11,-5.631,1,0.0416,0.0869,0,0.219,0.449,158.08,audio_features,6DEaND0SHv3sC11xobZLiy,spotify:track:6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/tracks/6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/audio-analysis/6DEaND0SHv3sC11xobZLiy,243707,4,Take Your Time: Sam Hunt ,Top 100 Country Tracks on Spotify
0.67,0.737,9,-6.794,1,0.0434,0.223,0,0.325,0.754,92.983,audio_features,6YWvgL06rVQ1TLzbT5EQLB,spotify:track:6YWvgL06rVQ1TLzbT5EQLB,https://api.spotify.com/v1/tracks/6YWvgL06rVQ1TLzbT5EQLB,https://api.spotify.com/v1/audio-analysis/6YWvgL06rVQ1TLzbT5EQLB,182400,4,Sunshine & Whiskey: Frankie Ballard ,Top 100 Country Tracks on Spotify
0.514,0.889,8,-3.396,0,0.106,0.218,0,0.105,0.843,158.023,audio_features,6WTFRjOG3nS94P8wfm4ANH,spotify:track:6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/tracks/6WTFRjOG3nS94P8wfm4ANH,https://api.spotify.com/v1/audio-analysis/6WTFRjOG3nS94P8wfm4ANH,176293,4,Games: Luke Bryan ,Top 100 Country Tracks on Spotify
0.72,0.849,6,-2.246,1,0.0316,0.0279,0.000169,0.0971,0.956,105.012,audio_features,5gnV9rhNQlb6nqFiwQgKVf,spotify:track:5gnV9rhNQlb6nqFiwQgKVf,https://api.spotify.com/v1/tracks/5gnV9rhNQlb6nqFiwQgKVf,https://api.spotify.com/v1/audio-analysis/5gnV9rhNQlb6nqFiwQgKVf,205720,4,Homegrown: Zac Brown Band ,Top 100 Country Tracks on Spotify
0.684,0.724,4,-6.255,1,0.023,0.0196,0.0433,0.0684,0.849,101.997,audio_features,1yaFBgYRHxXxJN0AKy3WS1,spotify:track:1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/tracks/1yaFBgYRHxXxJN0AKy3WS1,https://api.spotify.com/v1/audio-analysis/1yaFBgYRHxXxJN0AKy3WS1,230360,4,On To Something Good: Ashley Monroe ,Top 100 Country Tracks on Spotify
0.432,0.738,2,-3.91,1,0.0309,0.042,0,0.119,0.503,153.712,audio_features,1hb6wUcWcjJswYPaTXJgxw,spotify:track:1hb6wUcWcjJswYPaTXJgxw,https://api.spotify.com/v1/tracks/1hb6wUcWcjJswYPaTXJgxw,https://api.spotify.com/v1/audio-analysis/1hb6wUcWcjJswYPaTXJgxw,191907,4,Ain't Worth The Whiskey: Cole Swindell ,Top 100 Country Tracks on Spotify
0.41,0.747,5,-4.964,1,0.0358,0.0581,0,0.0983,0.369,158.064,audio_features,1zbcFS5hS92oXNL3UZDfY0,spotify:track:1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/tracks/1zbcFS5hS92oXNL3UZDfY0,https://api.spotify.com/v1/audio-analysis/1zbcFS5hS92oXNL3UZDfY0,218040,4,Lonely Tonight (feat. Ashley Monroe): Blake Shelton Ashley Monroe ,Top 100 Country Tracks on Spotify
0.693,0.882,7,-5.321,1,0.0386,0.286,0,0.148,0.806,89.975,audio_features,1Oe4iHSl5mLQ0YHnzQ4eRA,spotify:track:1Oe4iHSl5mLQ0YHnzQ4eRA,https://api.spotify.com/v1/tracks/1Oe4iHSl5mLQ0YHnzQ4eRA,https://api.spotify.com/v1/audio-analysis/1Oe4iHSl5mLQ0YHnzQ4eRA,136280,4,I'm To Blame: Kip Moore ,Top 100 Country Tracks on Spotify
0.584,0.813,6,-7.221,1,0.0582,0.0297,0.000197,0.272,0.774,95.081,audio_features,4sl4UWqzHSG7riBKdralwy,spotify:track:4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/tracks/4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/audio-analysis/4sl4UWqzHSG7riBKdralwy,204387,4,Little Red Wagon: Miranda Lambert ,Top 100 Country Tracks on Spotify
0.663,0.53,1,-9.763,1,0.0301,0.0886,0,0.154,0.269,109.003,audio_features,2Hx66vdWgA4DE0yqqktQiT,spotify:track:2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/tracks/2Hx66vdWgA4DE0yqqktQiT,https://api.spotify.com/v1/audio-analysis/2Hx66vdWgA4DE0yqqktQiT,207347,4,Drinking Class: Lee Brice ,Top 100 Country Tracks on Spotify
0.477,0.952,4,-3.715,1,0.0402,0.103,2.38e-06,0.441,0.867,170.099,audio_features,0El2Zyt68nYySFDG87hZgM,spotify:track:0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/tracks/0El2Zyt68nYySFDG87hZgM,https://api.spotify.com/v1/audio-analysis/0El2Zyt68nYySFDG87hZgM,184707,4,Sun Daze: Florida Georgia Line ,Top 100 Country Tracks on Spotify
0.625,0.569,0,-5.954,1,0.0271,0.26,0,0.127,0.361,149.987,audio_features,6VZCuvHwk3xmjwgKga0bNi,spotify:track:6VZCuvHwk3xmjwgKga0bNi,https://api.spotify.com/v1/tracks/6VZCuvHwk3xmjwgKga0bNi,https://api.spotify.com/v1/audio-analysis/6VZCuvHwk3xmjwgKga0bNi,201013,4,I Got The Boy: Jana Kramer ,Top 100 Country Tracks on Spotify
0.451,0.893,7,-2.721,1,0.0627,0.0243,0,0.0813,0.0971,139.763,audio_features,10RQKVSr4rS0coExTmi4dF,spotify:track:10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/tracks/10RQKVSr4rS0coExTmi4dF,https://api.spotify.com/v1/audio-analysis/10RQKVSr4rS0coExTmi4dF,238173,4,Something in the Water: Carrie Underwood ,Top 100 Country Tracks on Spotify
0.649,0.91,1,-5.185,1,0.0569,0.125,0,0.0467,0.88,87.983,audio_features,5mv0E9VfdpuwNX4fMznxjs,spotify:track:5mv0E9VfdpuwNX4fMznxjs,https://api.spotify.com/v1/tracks/5mv0E9VfdpuwNX4fMznxjs,https://api.spotify.com/v1/audio-analysis/5mv0E9VfdpuwNX4fMznxjs,205147,4,Homegrown Honey: Darius Rucker ,Top 100 Country Tracks on Spotify
0.513,0.221,0,-10.233,1,0.0302,0.822,0,0.113,0.354,173.865,audio_features,11qh54D0PKkBwelpDxxiEU,spotify:track:11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/tracks/11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/audio-analysis/11qh54D0PKkBwelpDxxiEU,193320,3,Girl Crush: Little Big Town ,Top 100 Country Tracks on Spotify
0.586,0.804,1,-5.277,1,0.0343,0.0372,0,0.334,0.693,90.97,audio_features,1uKbUXl4F8WfecP9ihr5Lm,spotify:track:1uKbUXl4F8WfecP9ihr5Lm,https://api.spotify.com/v1/tracks/1uKbUXl4F8WfecP9ihr5Lm,https://api.spotify.com/v1/audio-analysis/1uKbUXl4F8WfecP9ihr5Lm,190920,4,Don't It: Billy Currington ,Top 100 Country Tracks on Spotify
0.428,0.781,0,-3.42,1,0.0382,0.0824,0,0.118,0.458,147.913,audio_features,72wSY7TWu27sVm2rwRLen5,spotify:track:72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/tracks/72wSY7TWu27sVm2rwRLen5,https://api.spotify.com/v1/audio-analysis/72wSY7TWu27sVm2rwRLen5,196213,4,A Guy Walks Into a Bar: Tyler Farr ,Top 100 Country Tracks on Spotify
